ti (s)	Shear=2.5	Shear=1	Shear=0.5	Shear=0.1
0.07079	14.58118	6.95063	4.36297	1.98656
0.08483	14.817	7.19439	4.23904	1.84424
0.10166	15.04867	7.45402	4.18835	1.70218
0.12182	15.27638	7.72985	4.21641	1.56709
0.14598	15.50044	8.02208	4.33302	1.44714
0.17493	15.72123	8.33076	4.53214	1.35155
0.20962	15.93916	8.65569	4.80368	1.2896
0.25119	16.15474	8.99645	5.13324	1.26956
0.301	16.3684	9.3523	5.50618	1.29755
0.3607	16.58056	9.72215	5.91058	1.37641
0.43223	16.79143	10.10455	6.33836	1.50567
0.51795	17.00098	10.49755	6.78463	1.6822
0.62066	17.2088	10.89876	7.2462	1.90169
0.74375	17.41395	11.30523	7.72033	2.16037
0.89125	17.61487	11.7135	8.20402	2.45607
1.068	17.80933	12.11955	8.69382	2.78846
1.2798	17.99445	12.51884	9.1858	3.15838
1.53361	18.16692	12.90641	9.67559	3.567
1.83775	18.32333	13.27695	10.15843	4.01503
2.2022	18.46067	13.62506	10.62933	4.50224
2.63893	18.57697	13.94546	11.08318	5.02704
3.16228	18.67177	14.23336	11.51494	5.58619
3.78941	18.74635	14.48484	11.91986	6.17443
4.54091	18.80351	14.6974	12.29368	6.78428
5.44145	18.84695	14.87033	12.6329	7.40594
6.52057	18.88038	15.00519	12.93493	8.02738
7.81371	18.90682	15.10594	13.1983	8.63475
9.36329	18.92833	15.1789	13.42276	9.21309
11.22018	18.94614	15.2321	13.60932	9.74747
13.44533	18.96094	15.2743	13.76014	10.22436
16.11176	18.97317	15.31351	13.87842	10.6332
19.30698	18.98321	15.3555	13.96814	10.96783
23.13586	18.99136	15.40268	14.03375	11.22745
27.72408	18.99792	15.45391	14.07984	11.41682
33.22221	19.00314	15.5054	14.11081	11.54544
39.81072	19.00726	15.55252	14.13064	11.62592
47.70583	19.01046	15.59165	14.14267	11.67171
57.16667	19.01293	15.62125	14.14956	11.69507
68.50374	19.0148	15.64183	14.15326	11.70558
82.08914	19.01621	15.65512	14.15511	11.70967
98.36875	19.01726	15.66317	14.15596	11.71101
117.87686	19.01802	15.66775	14.15633	11.71138
141.25375	19.01857	15.67021	14.15647	11.71146
169.26666	19.01896	15.67144	14.15652	11.71147
202.83498	19.01924	15.67202	14.15653	11.71147
243.06044	19.01942	15.67227	14.15654	11.71147
291.26327	19.01955	15.67237	14.15654	11.71147
349.02549	19.01963	15.67238	14.15654	11.71147
418.24289	19.01955	15.67216	14.15653	11.71147
501.18723	19.0191	15.67122	14.15652	11.71147
