Time (s)	γ (-)	γ_dot (1/s)	σ (Pa)
0.100335	0.200501737	1.994970665	6.21415
0.200334	0.399330662	1.980000168	7.36774
0.300332	0.596169362	1.955238324	8.32742
0.400334	0.790059955	1.920930877	9.01549
0.500333	0.980050747	1.877422865	9.63434
0.600335	1.165253929	1.825146413	10.0126
0.700334	1.344807109	1.764626976	10.3452
0.800332	1.517919358	1.696468509	10.472
0.900334	1.683868484	1.621348302	10.4372
1.00033	1.841979239	1.540024591	10.386
1.10034	1.991701531	1.453293085	10.327
1.20033	2.132488613	1.362050162	10.144
1.30033	2.263976408	1.26718084	10.0363
1.40033	2.385835765	1.169641935	9.68302
1.50033	2.497848276	1.070408024	9.4108
1.60034	2.599903617	0.970460624	9.1107
1.70033	2.691952238	0.870828263	8.81141
1.80033	2.774102601	0.772476548	8.41583
1.90033	2.846523351	0.676398172	8.01439
2.00033	2.909490049	0.583553118	7.5546
2.10034	2.963377669	0.494860433	7.13028
2.20033	3.008632154	0.411232111	6.66215
2.30033	3.0458153	0.333477932	6.1136
2.40033	3.075549804	0.262383422	5.54249
2.50033	3.098537734	0.198658932	4.93797
2.60034	3.11555	0.142936026	4.32004
2.70033	3.127411513	0.095786872	3.63376
2.80033	3.135007199	0.057667165	2.97778
2.90033	3.1392589	0.028962935	2.33911
3.00033	3.141123303	0.009960988	1.76279
3.10034	3.141580954	0.00085077	1.2804
3.20033	3.141626422	0.001724542	0.941977
3.30033	3.142258446	0.01257234	0.904616
3.40033	3.144469868	0.033286189	1.19581
3.50033	3.149237761	0.063659122	1.9283
3.60034	3.157514684	0.103392092	3.16877
3.70033	3.170214015	0.15207486	4.84898
3.80033	3.188211123	0.209234244	6.56084
3.90033	3.212324321	0.274294698	8.0284
4.00033	3.243311844	0.34660616	9.28912
4.10034	3.281867496	0.425454301	10.2111
4.20033	3.328592489	0.510026825	11.0622
4.30033	3.384031849	0.599503184	11.695
4.40033	3.448626558	0.692981175	12.3202
4.50033	3.522730373	0.789526797	12.8414
4.60034	3.606610922	0.888185334	13.2375
4.70033	3.700402709	0.987941312	13.6769
4.80033	3.80419432	1.087827713	14.0794
4.90033	3.91793899	1.186836569	14.3426
5.00033	4.041499386	1.283978615	14.6651
5.10034	4.174653884	1.378292498	14.8175
5.20033	4.317030003	1.468808186	15.1519
5.30033	4.468245547	1.554648954	15.2571
5.40033	4.627775003	1.634947854	15.4951
5.50033	4.795023574	1.708902564	15.5931
5.60034	4.969337091	1.775780464	15.7362
5.70033	5.149919943	1.834894466	15.8621
5.80033	5.336020067	1.885672787	15.8251
5.90033	5.526759423	1.92760176	15.8834
6.00033	5.721231373	1.960262441	15.9351
6.10034	5.918511818	1.983330317	15.9672
6.20033	6.117569461	1.996569462	15.8777
6.30033	6.317473853	1.999853033	15.8464
6.40033	6.51720695	1.993146403	15.7852
6.50033	6.71577225	1.976516583	15.6452
6.60034	6.912204425	1.950126613	15.4904
6.70033	7.105481645	1.914249498	15.3591
6.80033	7.294730225	1.869234386	15.1388
6.90033	7.479038922	1.815534171	14.8155
7.00033	7.657565351	1.753685408	14.3896
7.10034	7.829541744	1.684298777	14.3393
7.20033	7.994198577	1.608089371	14.0862
7.30033	8.15094018	1.525796845	13.7133
7.40033	8.299182767	1.43825073	13.3876
7.50033	8.438444315	1.346325759	13.0199
7.60034	8.568345044	1.250930735	12.595
7.70033	8.688548793	1.153047758	12.1675
7.80033	8.798891096	1.053625898	11.7779
7.90033	8.899256107	0.953668226	11.2902
8.00033	8.989640178	0.854173486	10.7764
8.10034	9.07014695	0.756126098	10.2236
8.20033	9.140948584	0.660534716	9.69213
8.30033	9.20235943	0.568325462	9.18858
8.40033	9.254757496	0.480429357	8.61204
8.50033	9.298618405	0.397724629	7.97849
8.60034	9.334506291	0.321030297	7.3178
8.70033	9.363052141	0.251134615	6.66527
8.80033	9.3849795	0.188714007	5.97601
8.90033	9.401065236	0.134399501	5.13031
9.00033	9.41214779	0.088733789	4.36998
9.10034	9.419116119	0.052169959	3.62173
9.20033	9.422898204	0.025082878	2.78214
9.30033	9.424456982	0.007733659	2.14767
9.40033	9.424775525	0.000298837	1.58355
9.50033	9.424849817	0.002852698	1.25149
9.60034	9.425678435	0.015371472	1.25014
9.70033	9.428251808	0.037724854	1.62271
9.80033	9.43354385	0.069694717	2.59783
9.90033	9.442500698	0.110959883	4.03439
10.0003	9.456027192	0.161091715	5.88993
10.1003	9.474995209	0.219619376	7.791
10.2003	9.500211064	0.285944343	9.37036
10.3003	9.532421977	0.359403917	10.6908
10.4003	9.572305273	0.439264116	11.6899
10.5003	9.620461619	0.524727002	12.5954
10.6003	9.677409018	0.614938659	13.3274
10.7003	9.74357764	0.708997722	13.8469
10.8003	9.819305515	0.805964383	14.4644
10.9003	9.904835163	0.904869784	14.8067
11.0003	10.00031117	1.004725695	15.2678
11.1003	10.10577873	1.104534388	15.552
11.2003	10.22118322	1.203298608	15.8708
11.3003	10.34637072	1.300031536	16.0633
11.4003	10.48108956	1.393766647	16.374
11.5003	10.62499286	1.483567373	16.5225
11.6003	10.77764193	1.568536453	16.5216
11.7003	10.93851073	1.647824905	16.7972
11.8003	11.10699108	1.720640504	16.7772
11.9003	11.28239874	1.786255702	16.8999
12.0003	11.46398026	1.844014893	16.8332
12.1003	11.65092052	1.893340966	16.9179
12.2003	11.84235082	1.933741071	16.8563
12.3003	12.03735764	1.964811544	16.8639
12.4003	12.23499169	1.986241939	16.8186
12.5003	12.43427745	1.997818131	16.6771
12.6003	12.63422288	1.999424454	16.6233
12.7003	12.83382936	1.991044858	16.3882
12.8003	13.03210166	1.972763069	16.4368
12.9003	13.22805788	1.944761753	16.2057
13.0003	13.42073925	1.907320691	15.7828
13.1003	13.60921973	1.860813979	15.6657
13.2003	13.79261525	1.805706299	15.3961
13.3003	13.97009256	1.742548268	15.184
13.4003	14.14087751	1.671970941	14.8602
13.5003	14.30426287	1.594679501	14.47
13.6003	14.45961529	1.511446221	14.1233
13.7003	14.60638171	1.423102739	13.7331
13.8003	14.74409487	1.330531754	13.2557
13.9003	14.87237794	1.234658206	12.8889
14.0003	14.99094833	1.13644003	12.4512
14.1003	15.09962049	1.03685859	12.0573
14.2003	15.19830777	0.936908872	11.5307
14.3003	15.28702329	0.837589539	11.0437
14.4003	15.36587979	0.739892958	10.4553
14.5003	15.43508854	0.644795281	9.89524
14.6003	15.49495719	0.553246691	9.35129
14.7003	15.54588672	0.466161913	8.66989
14.8003	15.58836743	0.384411069	8.09467
14.9003	15.62297403	0.308810986	7.40648
15.0003	15.6503599	0.240117035	6.70157
15.1003	15.6712506	0.179015583	5.90118
15.2003	15.68643655	0.126117137	5.18267
15.3003	15.69676518	0.081950239	4.37051
15.4003	15.70313246	0.04695619	3.57108
15.5003	15.70647394	0.021484641	2.78093
15.6003	15.70775539	0.005790093	2.10708
15.7003	15.70796319	2.93627E-05	1.5797
15.8003	15.70809442	0.004260008	1.3079
15.9003	15.70914694	0.018439758	1.35403
16.0003	15.7121094	0.042426934	1.83655
16.1003	15.71795136	0.075981863	2.88156
16.2003	15.72761362	0.118769276	4.43033
16.3003	15.74199881	0.170361655	6.36994
16.4003	15.76196236	0.230243506	8.17687
16.5003	15.78830397	0.29781651	9.85724
16.6003	15.82175961	0.372405499	11.0738
16.7003	15.86299416	0.453265204	12.1554
16.8003	15.9125948	0.539587703	13.0531
16.9003	15.9710651	0.63051049	13.7666
17.0003	16.03882	0.725125094	14.4377
17.1003	16.1161817	0.822486156	14.9848
17.2003	16.20337638	0.921620879	15.4341
17.3003	16.30053199	1.02153874	15.8365
17.4003	16.40767695	1.121241392	16.2307
17.5003	16.52473987	1.219732641	16.4688
17.6003	16.65155027	1.316028394	16.6961
17.7003	16.78784026	1.409166496	16.7912
17.8003	16.93324725	1.498216341	17.0664
17.9003	17.08731754	1.582288173	17.1884
18.0003	17.24951088	1.660541975	17.0961
18.1003	17.41920586	1.732195859	17.4245
18.2003	17.59570611	1.796533884	17.3247
18.3003	17.77824726	1.852913206	17.315
