N,W,alfa,b_0,d_f,porosity,m_p,G_0,sigma_y0,phi_p,mu_s,error
5,0.00529905225922045,0.967026320796662,3.48105801771192e-05,2.39996730125564,1.0154280133764,351.371325674946,1089.01260819939,10.357858028496,0.0455022017133909,0.0229170471453527,0.367543499331803
1,0.00532536313225052,0.961862841760797,4.04697461819984e-05,2.38804221894541,1.01277590441066,316.916109291985,1099.35932750237,10.5177040178349,0.0464157743645565,0.0226612385209118,0.366251805987005
2,0.00530183884106061,0.989743836562224,4.34873813041211e-05,2.38475875822407,1.01227216649434,326.205163534935,1107.3780091799,10.660441368845,0.0461765712434526,0.0225829627911192,0.365679748393868
4,0.00531231369347451,0.968115167942488,4.44452552522371e-05,2.38431599114024,1.01385350877198,321.707602914748,1106.10033008544,10.4944112588991,0.0458087222881794,0.0229560060970108,0.367146510290768
3,0.00540413507846105,0.950233179344138,4.2441607738044e-05,2.37797493742888,1.00996184106525,320.80669875962,1101.36458209323,10.4896229823325,0.0456482869525165,0.0225827098852652,0.364808066257297
6,0.00531088684769698,0.968474636061753,4.64926662765678e-05,2.37220716935783,1.00922166337458,312.136891891169,1096.03546329234,10.8158850029662,0.0453313872294434,0.0226530349121127,0.364311908363157
7,0.00528055647213388,0.970299025595442,4.46460610867007e-05,2.37858912727615,1.01148174320186,309.263312997247,1082.62888094117,10.6700285271694,0.0453982412763872,0.0229161370351251,0.365499618066943
11,0.00528049844765999,0.981546917062472,3.9524760556623e-05,2.38315329558284,1.00967140426342,342.336291493946,1088.82510824964,10.6760663603441,0.0457633082432421,0.0221970767181979,0.363906840615019
8,0.00533259457684543,0.96115373329653,3.92200845088129e-05,2.38374682096024,1.01121351615821,345.268805112135,1100.4996518558,10.4997095606163,0.0455985314816971,0.0220973212425911,0.363320143183396
9,0.00537333018900976,0.969612132346541,4.04829075010947e-05,2.38931595455531,1.01336524767408,302.415367375997,1091.08325924777,10.6016338062121,0.0465493482559299,0.0226258275086158,0.365446604536539
10,0.00531578849476033,0.961952589708609,3.68121731524327e-05,2.39667465230149,1.01373027910053,311.440612452569,1098.49785415619,10.5300247866801,0.0468035531895872,0.0227140766502242,0.366910604827315
12,0.00531741589958035,0.96855311926169,3.36533615602807e-05,2.39382706800659,1.01227395521829,306.948881018998,1089.6360120747,10.6394939354087,0.045406034487529,0.0225818526015851,0.363674015477583
14,0.00532509034911643,0.968681143348009,4.5388112332297e-05,2.36906631541588,1.0083722449054,315.905368078551,1070.08332857968,10.4231736015752,0.045072528438335,0.0224376912336284,0.362878298207286
13,0.00534161430462876,0.981025140373657,3.60143491609369e-05,2.39550177534171,1.01442576295453,320.039696487843,1095.52176828014,10.50878541019,0.0459179439535906,0.0225342344394857,0.364882547741376
15,0.0054047942151112,0.953847773494547,3.49592406611307e-05,2.40124661170658,1.01524563580973,338.476040163366,1079.70019220508,10.4776281951438,0.0463314713085294,0.0229134830809357,0.368589655613751
