N,W,alfa,b_0,d_f,porosity,m_p,G_0,sigma_y0,mu_s,kh,error
5,21.1625563903387,0.625375448356138,0.00212725108267955,2.25775935144902,0.833510737269155,491.813898861147,36.915568060303,0.57410310203516,0.350405504969604,0.313148106070494,0.37808319202471
2,26.1648981401718,0.625583915474865,0.00235744874046165,2.27368880584208,0.853132097203143,488.446735435272,37.7408914187212,0.571539337389428,0.349071587863471,0.308778070825396,0.379108270778352
1,20.9134701326895,0.629988292040289,0.00186413430779809,2.29634379103074,0.859223291508736,305.791728223242,36.523820662214,0.613436503219761,0.352689035966816,0.313768672778722,0.392996308422958
6,21.2735393378156,0.581774671381846,0.00168565713502019,2.28856725233609,0.850602937229524,348.68653199505,36.9202143522506,0.609002929822878,0.340457361052996,0.30133192354237,0.403210592700934
4,18.9313430128912,0.599950785896223,0.00182346903493835,2.30178479815224,0.858982352205351,317.199851404364,36.1354953451965,0.580372245697061,0.355630502170685,0.283282570744058,0.399520399770755
3,19.987445097263,0.614593859990116,0.00222212457298517,2.28824047211274,0.85595586462258,389.567351832335,35.5820752303216,0.585464477094852,0.36572465207258,0.289066595935247,0.387576585908859
11,21.8882244506143,0.611673274986659,0.00252662707810336,2.25636798151171,0.837370923596562,527.338930347907,36.0693863608978,0.609428447118187,0.348129131001738,0.31131543528937,0.384068726789048
12,18.6743714460721,0.596822135656979,0.00196915555951349,2.30389973652122,0.865180029055272,423.109167188957,38.41844384539,0.61652732748227,0.348501712534527,0.302340016825091,0.394059143389451
8,19.679711384366,0.639908909479918,0.00221137528719096,2.28555104915896,0.849336134170683,474.587941436224,37.4967974033835,0.585509301344637,0.367373797656219,0.29599514880064,0.377314701496256
7,20.2493302628388,0.612268497291855,0.00218145323694442,2.27168283213324,0.848651378359654,332.381832977938,36.913388684086,0.602607521948142,0.348298476923708,0.306001394005319,0.398043045288422
10,22.1051215953559,0.617755927390902,0.00188089710321293,2.3051905401112,0.87240963911342,323.667842717965,38.2797519934409,0.601018477401725,0.342059771248529,0.313514758266796,0.398340220082867
9,19.7622274703435,0.644615430436893,0.00193947743018326,2.29934723036043,0.870852529808492,323.606685445812,36.0694132495751,0.566366931074355,0.33924936166378,0.310330587141054,0.395918123011301
13,18.0899375104331,0.605256820145308,0.00216695132376748,2.30007877036861,0.868895491137777,405.34120711485,37.2380930569699,0.609308444156437,0.351804370271652,0.310264914006848,0.389948398039995
14,20.1400523886986,0.596722895410763,0.00234946815833181,2.26595294229749,0.848413023159027,486.401275528323,36.9892059565121,0.606657645887397,0.339752630336799,0.300142445723251,0.394832990109977
15,19.9000306368711,0.614688673592329,0.00259134024398563,2.26177372760577,0.851784411610862,369.390069637193,37.6054266816848,0.567716245430841,0.346158334647923,0.297353883392251,0.395835684857585
