Time (s)	γ (-)	γ_dot (1/s)	σ (Pa)
0.100502	1.004174481	9.974769618	26.0065
0.2005	1.998296696	9.899835603	26.8824
0.300499	2.982479414	9.775944528	26.6984
0.400501	3.951903725	9.604328899	25.9727
0.500499	4.901811963	9.386716096	25.6506
0.600502	5.827793604	9.125260302	25.2241
0.7005	6.725500139	8.822599914	25.0949
0.800499	7.591013291	8.48174331	24.4769
0.900501	8.42069619	8.106087217	23.6979
1.0005	9.211205154	7.699407514	23.2666
1.1005	9.959670234	7.265752305	22.7934
1.2005	10.66360074	6.809458448	22.055
1.3005	11.32095907	6.335085081	21.0314
1.4005	11.93017295	5.847371984	20.3052
1.5005	12.49015115	5.351192227	19.2638
1.6005	13.00029439	4.851503473	18.5701
1.7005	13.46050132	4.353298447	17.6329
1.8005	13.87116954	3.86155505	16.2641
1.9005	14.23319162	3.381186618	15.4755
2.0005	14.5479462	2.916992834	14.1541
2.1005	14.81728418	2.473611769	13.3197
2.2005	15.04351026	2.055473541	12.1686
2.3005	15.2293599	1.666756047	11.066
2.4005	15.377972	1.311343225	9.79835
2.5005	15.49285749	0.992786243	8.5861
2.6005	15.57786432	0.714268015	7.34177
2.7005	15.63713895	0.478571405	6.09288
2.8005	15.67508499	0.288051415	4.79052
2.9005	15.6963191	0.144611658	3.53453
3.0005	15.70562497	0.049685336	2.41155
3.1005	15.70790545	0.004220921	1.49684
3.2005	15.70813358	0.00867268	1.07117
3.3005	15.71130293	0.062996132	1.34586
3.4005	15.72237765	0.166648494	2.70231
3.5005	15.74624294	0.318594107	5.19414
3.6005	15.78765616	0.51731478	8.14724
3.7005	15.85119938	0.760824962	10.7665
3.8005	15.94123351	1.046691579	12.9297
3.9005	16.0618548	1.372058348	14.7301
4.0005	16.21685389	1.73367431	16.3654
4.1005	16.4096779	2.127926319	17.8328
4.2005	16.64339603	2.550875139	19.1562
4.3005	16.92066889	2.998294805	20.3431
4.4005	17.24372189	3.465714847	21.4253
4.5005	17.61432303	3.94846496	22.2284
4.6005	18.03376522	4.441721663	23.0605
4.7005	18.50285337	4.940556498	23.8554
4.8005	19.02189633	5.439985274	24.5246
4.9005	19.59070383	5.935017862	25.5418
5.0005	20.20858838	6.420708061	26.251
5.1005	20.87437211	6.892203014	26.9188
5.2005	21.58639857	7.3447917	27.4918
5.3005	22.34254924	7.773952003	28.0159
5.4005	23.14026478	8.175395894	28.4993
5.5005	23.97657049	8.545112279	28.9406
5.6005	24.84810612	8.879407074	29.2337
5.7005	25.75115941	9.174940116	29.5402
5.8005	26.68170319	9.428758537	29.8108
5.9005	27.63543561	9.638326266	29.964
6.0005	28.60782311	9.801549372	30.0593
6.1005	29.59414576	9.916796984	30.0606
6.2005	30.58954439	9.982917586	30.0388
6.3005	31.58906914	9.999250522	29.9207
6.4005	32.58772891	9.9656326	29.7527
6.5005	33.58054127	9.882399718	29.477
6.6005	34.5625822	9.750383513	29.2037
6.7005	35.52903531	9.570903045	28.8126
6.8005	36.47523994	9.345751625	28.3423
6.9005	37.39673777	9.077178891	27.7646
7.0005	38.28931734	8.767868334	26.5615
7.1005	39.14905611	8.420910482	26.5802
7.2005	39.9723597	8.039772023	25.8007
7.3005	40.75599777	7.628261167	25.0377
7.4005	41.49713629	7.190489594	24.116
7.5005	42.19336589	6.730831373	23.3626
7.6005	42.8427259	6.253879257	22.2907
7.7005	43.44372399	5.764398794	21.3516
7.8005	43.99535099	5.267280711	20.3663
7.9005	44.49709108	4.767492047	19.2419
8.0005	44.94892686	4.270026526	18.1724
8.1005	45.35133959	3.779854659	17.1107
8.2005	45.70530431	3.301874081	15.9179
8.3005	46.01228016	2.840860615	14.7266
8.4005	46.27419578	2.401420557	13.5907
8.5005	46.49343003	1.987944645	12.4176
8.6005	46.67278823	1.604564195	11.382
8.7005	46.81547412	1.255109817	10.063
8.8005	46.92505787	0.943073144	8.59215
8.9005	47.00544038	0.671571943	7.28548
9.0005	47.06081434	0.443318964	5.92612
9.1005	47.09562231	0.260594836	4.65079
9.2005	47.11451232	0.125225277	3.38076
9.3005	47.12229148	0.038562857	2.14596
9.4005	47.12387788	0.001473476	1.31883
9.5005	47.12425151	0.01432772	0.968775
9.6005	47.12840448	0.076997153	1.47152
9.7005	47.14129113	0.188855604	2.94119
9.8005	47.16777852	0.348785419	5.52193
9.9005	47.21259784	0.555188632	8.45951
10.0005	47.28029711	0.806002932	11.133
10.1005	47.37519573	1.098722264	13.1164
10.2005	47.50134134	1.430421873	14.8992
10.3005	47.66246937	1.797787527	16.5534
10.4005	47.86196571	2.19714863	17.9529
10.5005	48.10283291	2.624514897	19.1299
10.6005	48.38766012	3.075616225	20.1591
10.7005	48.71859729	3.545945361	21.1789
10.8005	49.09733364	4.03080293	22.1716
10.9005	49.52508078	4.525344395	22.9602
